"ANO";"AUTO";"BICICLETA";"BOLETIM";"CAMINHAO";"CARROCA";"CONSORCIO";"CONT_ACID";"CONT_VIT";"CORREDOR";"DIA";"DIA_SEM";"FATAIS";"FERIDOS";"FERIDOS_GR";"FONTE";"FX_HORA";"ID";"LATITUDE";"LOCAL";"LOCAL_VIA";"LOG1";"LOG2";"LONGITUDE";"LOTACAO";"MES";"MORTE_POST";"MORTES";"MOTO";"NOITE_DIA";"ONIBUS_INT";"ONIBUS_MET";"ONIBUS_URB";"OUTRO";"PREDIAL1";"QUEDA_ARR";"REGIAO";"TAXI";"TEMPO";"TIPO_ACID";"UPS"
2013;1;0;"13413";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"DEPTRAN";7;"559076";-30 028718;"Logradouro";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"";-51 219223;"0";1;0;0;0;"DIA";"1";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"236179";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";9;"559147";-30 028422;"Logradouro";"1100 R SIQUEIRA CAMPOS";"R SIQUEIRA CAMPOS";"";-51 230652;"0";1;0;0;0;"DIA";"0";0;"0";0;1100;0;"CENTRO";"1";"NUBLADO";"COLISAO";1
2013;0;0;"249621";1;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";10;"559149";-30 023004;"Logradouro";"100 AV PRESIDENTE CASTELO BRANCO";"AV PRESIDENTE CASTELO BRANCO";"";-51 220384;"0";1;0;0;0;"DIA";"0";0;"0";0;100;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;2;0;"249578";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";10;"559148";-30 032552;"Cruzamento";"R DOS ANDRADAS & R GEN PORTINHO";"R DOS ANDRADAS";"R GEN PORTINHO";-51 237307;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"NUBLADO";"ABALROAMENTO";1
2013;2;0;"250273";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";13;"559144";-30 03774;"Cruzamento";"R GEN LIMA E SILVA & R DA REPUBLICA";"R GEN LIMA E SILVA";"R DA REPUBLICA";-51 222178;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"NUBLADO";"COLISAO";1
2013;1;0;"235455";0;0;"STS";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";15;"559142";-30 031662;"Logradouro";"579 AV BORGES DE MEDEIROS";"AV BORGES DE MEDEIROS";"";-51 22776;"0";1;0;0;0;"DIA";"0";0;"1";0;579;0;"CENTRO";"0";"NUBLADO";"COLISAO";1
2013;1;0;"113413";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"DEPTRAN";17;"561304";-30 030631;"Logradouro";"604 R SETE DE SETEMBRO";"R SETE DE SETEMBRO";"";-51 234321;"0";1;0;0;1;"DIA";"0";0;"0";0;604;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"249581";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"EPTC";7;"559204";-30 033382;"Logradouro";"143 AV DESEMBARGADOR ANDRE DA ROCHA";"AV DESEMBARGADOR ANDRE DA ROCHA";"";-51 224159;"0";1;0;0;0;"DIA";"0";0;"0";0;143;0;"CENTRO";"0";"CHUVOSO";"EVENTUAL";1
2013;1;0;"19013";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"DEPTRAN";7;"559240";-30 029599;"Logradouro";"112 PCA DOM FELICIANO";"PCA DOM FELICIANO";"";-51 222082;"0";1;0;0;0;"DIA";"0";0;"0";0;112;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;1;0;"235252";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"EPTC";11;"559265";-30 027793;"Logradouro";"451 R CEL VICENTE";"R CEL VICENTE";"";-51 220885;"0";1;0;0;1;"DIA";"0";0;"0";0;451;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"14313";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"DEPTRAN";12;"559158";-30 032851;"Logradouro";"41 AV JOAO PESSOA";"AV JOAO PESSOA";"";-51 222847;"0";1;0;0;0;"DIA";"0";0;"0";0;41;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"249781";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"EPTC";15;"559258";-30 029002;"Cruzamento";"R JOSE MONTAURY & AV BORGES DE MEDEIROS";"R JOSE MONTAURY";"AV BORGES DE MEDEIROS";-51 227933;"1";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"235457";0;0;"";1;0;0;8;"TERCA-FEIRA";0;"0";0;"EPTC";18;"559266";-30 0326;"Cruzamento";"AV PAULO GAMA & AV OSVALDO ARANHA";"AV PAULO GAMA";"AV OSVALDO ARANHA";-51 219232;"0";1;0;0;0;"NOITE";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"20613";0;0;"UNIBUS";1;1;0;9;"QUARTA-FEIRA";0;"2";0;"DEPTRAN";13;"559250";-30 028718;"Logradouro";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"";-51 219223;"0";1;0;0;0;"DIA";"0";0;"1";0;0;0;"CENTRO";"0";"BOM";"COLISAO";5
